text,label
"I disliked Frosty returns and this one. Both of the films are absurd with poorly written characters and bad voices. The voices could have been done but Frosty returns was worst than this because of the unalike snowman they drew. Frosty's winterwonder land was great and so was the original heartwarming Drama. The only good thing about this film was Frosty the snowman was alike of the classic 60s and a funny line like when they were talking about things that are not real and then Frosty walks by the window humming, whistling whatever he was doing but everything else was badly written and badly animated and I barely got the plot. I saw the DVD cover at the library about 2 or 3 years ago and the art looked crappy so I didn't pick it up until this year because the pictures on the back looked a little touching but I played this film. It was a hassle poorly art characters just like the DVD and it was just terrible about what's going on. I watched this at night and found it dull that I fell asleep on the whole thing (Wait I always do that when I watch something while I go to sleep) But this movie was overall boring<br /><br />Overall rating: Grade -C<br /><br />This is like another holiday special bad rip-off in the frosty returns and this one. This one is the badly 4th sequel like Home alone 4 well i thought that movie was OK but home alone 3 was great. But it's like a bad home alone 3 and 4 people hate like this. My sister didn't watch it that much because when she came into my room to watch 2 minutes and a half of it, she walked away like ""I hate the animation!"" I agree to her just like the 3rd one Frosty returns. Plain awful!",0
"Not really a big box office draw, but I was pleasently surprised<br /><br />with this movie. James ""I did some things to Farrah Fawcett"" Orr <br /><br />co-wrote and directed this movie about an ordinary, average guy<br /><br />named Larry Burrows who thinks his life would have been<br /><br />incredibly different if he hit a homerun at a key baseball game<br /><br />when he was 15. But thanks to mysterious and magical bartender<br /><br />Mike, Larry gets his wish, yet soon realizes that his new life<br /><br />isn't exactly as he hoped it would be.<br /><br />I must say, this movie really impressed me. Critics have given<br /><br />it mixed, and I must say the concept is really interesting and<br /><br />pulled off well. Yes, it is a little standard, but packs enough<br /><br />funny moments, drama and excellent acting to make it really<br /><br />good. James Belushi (I think) was Oscar worthy for his role. Jon<br /><br />Lovitz is perfect, and Linda Hamilton plus Renee Russo shine in<br /><br />their roles. Michael Caine is perfect as the bartender. It's<br /><br />just a good movie with a good lesson. If you've never seen, I<br /><br />highly recommend you check",1
"To summarize this movie: Without a real plot, this movie consists of 80 minutes of deranged characters either drinking or making bad jokes. The music is just awful, the humor isn't funny and all the female characters slutty idiots or total geeks. It seems to me, that the movie has actually been written by a 14 year old boy, who thinks that drinking is cool, women are designed to please men and all that oppose that view are geeks. Also, the movie has nothing to do with the original American Pie movies, other than a few names and Mr. Levenstein who is a minor character in this one. The only good thing about this movie are the nice looking girls. Don't watch this movie and don't be fooled by the 5.4 rating, because it obviously overrated and doesn't deserve anything above 2.",0
"The Life and Time of Little Richard, as told by Little Richard, as produced and directed by Little Richard, was about as one sided as one of his songs. This is not a biography or even a docudrama, but does have good writing, great energy and an outstanding leading actor playing Richard. All the music is by Little Richard, so it rocks a tight lipsync on every song.<br /><br />The movie covers his early childhood, carrys thru the formative years in music, the wild success and Richard's throwing it all away to praise the Lord. Its all tied together well and the obvious comeback in 1962 manages to stay away from the idea that Little Richard discovered the Beatles, whom opened for him.<br /><br />My main objection is that his outrageous, counter cultural behavior is underplayed and you get no feel for how his audience experienced him at that time. Some of his energy, which he still has, does not come across full force. He seemed tame, compared to what I remember of him at the time.<br /><br />The best scenes are Richard getting jilted by Lucille and writing a song about it and the strip to bikini shorts while performing, to make the point about not having a decent place to change.<br /><br />If they had gotten into the ""Bronze Liberace"" as Richard use to refer to himself in interviews, then there's a story. Trust me I just saw him perform a couple of months ago and he still flirts with the pretty white boys, giving the one particularly good dancer in the audience, his headband. Nearly 68 and still going strong I recommend this movie and any concert or T.V. appearance you can find. Little Richard is always on",1
Steven Rea plays a forensic scientist thrust on the job in Sovie Russia in 1982..in the very first hours of his job a body of a murdered girl is brought in..he has his workers go back to look for evidence and they bring back five more bodies..this starts the story of the hunt for one of the worst serial killers in modern day history..It is a stark depressing dark movie that explores how the bureaucracy of the old Soviet Union indirectly contributed or caused the deaths of many of the killers victims.It also explores in Donald Sutherland's character how the proper usage of bureaucracy in a communist govt can help achieve the ultimate goal of finding a monster A gripping movie not for all but for those who like a good detective story that will hold your interest this is definitely a must see on a scale of one to ten.. 9,1
"At the height of the 'Celebrity Big Brother' racism row in 2007 ( involving Shilpa Shetty and the late Jade Goody ), I condemned on an internet forum those 'C.B.B.' fans who praised the show, after years of bashing 'racist' '70's sitcoms such as 'Curry & Chips' & 'Love Thy Neighbour'. I thought they were being hypocritical, and said so. 'It Ain't Half Hot Mum' was then thrown into the argument, with some pointing out it had starred an English actor blacked-up. Well, yes, but Michael Bates had lived in India as a boy, and spoke Urdu fluently. The show's detractors overlook the reality he brought to his performance as bearer 'Rangi Ram'. The noted Indian character actor, Renu Setna, said in a 1995 documentary 'Perry & Croft: The Sitcoms' that he was upset when he heard Bates had landed the role, but added: ""No Indian actor could have played that role as well as Bates."". Indeed.<br /><br />'Mum' was Perry and Croft's companion show to 'Dad's Army'; also set in wartime, the sedate English town of Walmington-On-Sea had been replaced by the hot, steamy jungles of India, in particularly a place called Deolali, where an army concert party puts on shows for the troops, among them Bombadier Solomons ( George Layton, his first sitcom role since 'Doctor In Charge' ), camp Gunner 'Gloria' Beaumont ( Melvyn Hayes ), diminutive Gunner 'Lofty' Sugden, 'Lah de-dah' Gunner Graham ( John Clegg ), and Gunner Parkins ( the late Christopher Mitchell ). Presiding over this gang of misfits was the bellicose Sergeant-Major Williams ( the brilliant Windsor Davies ), who regarded them all as 'poofs'. His frustration at not being able to lead his men up the jungle to engage the enemy in combat made him bitter and bullying ( though he was nice to Parkins, whom he thought was his illegitimate son! ). Then there was ever-so English Colonel Reynolds ( Donald Hewlett ) and dimwitted Captain Ashwood ( Michael Knowles ). Rangi was like a wise old sage, beginning each show by talking to the camera and closing them by quoting obscure Hindu proverbs. He loved being bearer so much he came to regard himself as practically British. His friends were the tea-making Char Wallah ( the late Dino Shafeek, who went on to 'Mind Your Language' ) and the rope pulling Punka Wallah ( Babar Bhatti ). So real Indians featured in the show - another point its detractors ignore. Shafeek also provided what was described on the credits as 'vocal interruptions' ( similar to the '40's songs used as incidental music on 'Dad's Army' ). Each edition closed with him warbling 'Land Of Hope & Glory' only to be silenced by a 'Shut Up!' from Williams. The excellent opening theme was penned by Jimmy Perry and Derek Taverner.<br /><br />Though never quite equalling 'Dad's Army' in the public's affections, 'Mum' nevertheless was popular enough to run for a total of eight seasons. In 1975, Davies and Estelle topped the charts with a cover version of that old chestnut 'Whispering Grass'. They then recorded an entire album of old chestnuts, entitled ( what else? ) 'Sing Lofty!'.<br /><br />The show hit crisis point three years later when Bates died of cancer. Rather than recast the role of 'Rangi', the writers just let him be quietly forgotten. When George Layton left, the character of 'Gloria' took his place as 'Bombadier', providing another source of comedy.<br /><br />The last edition in 1981 saw the soldiers leave India by boat for Blighty, the Char Wallah watching them go with great sadness ( as did viewers ).<br /><br />Repeats have been few and far between ( mainly on U.K. Gold ) all because of its so-called 'dodgy' reputation. This is strange. For one thing, the show was not specifically about racism. If a white man blacked-up is so wrong, why does David Lean's 1984 film 'A Passage to India' still get shown on television? ( it featured Alec Guinness as an Indian, and won two Oscars! ). It was derived from Jimmy Perry's own experiences. Some characters were based on real people ( the Sergeant-Major really did refer to his men as 'poofs' ). I take the view that if you are going to put history on television, get it right. Sanitizing the past, no matter how unsavoury it might seem to modern audiences, is fundamentally dishonest. 'Mum' was both funny and truthful, and viewers saw this. Thank heavens for D.V.D.'s I say. Time to stop this review. As Williams would say: ""I'll have no gossiping in this jungle!""",1
"This is only a response to the yahoo who says this movie is more realistic than the classic, genre defining MASTERPIECE, Jaws. Yes, brainiac, great whites(and other species of shark, bull, black-tip, oceanic white-tip, tiger)have been known to populate areas where easy prey is found. Humans don't often make it onto that menu, granted, but the shark in the film was repeatedly pointed out to be exhibiting abnormal behavior. It's not like it's never happened. The odds of a killer whale destroying nearly a whole town, singling out a human nemesis, sinking several dozen thick hulled North Atlantic fishing boats and knowing when certain people, all friends of the aforementioned ""nemesis"", are close enough to the water for it to reach, are so slim as to be laughable. Much like this turd of a Jaws knock-off. Laughable. Great white sharks are also known to frequently chew on boats, protective underwater cages and people on rafts and surfboards, as they look like seals from below. A shark the size of Bruce(if you don't know, look it up)would be more than capable of sinking a boat like The Orca(hey! that's the name of the blatant rip-off we're discussing!), as it would weigh upwards of 6,000 lbs. I could go on, but I don't need to. Jaws is amazing(better acting, better effects, better music, better writing), Orca is crap(BLATANT rip-off of Jaws, lousy writing, abominable effects, most ridiculous plot this side of an Olson Twins flick). It doesn't take a masters from Columbia University to see that. Watch better movies.",0
"I don't understand why the reviews of this film are so universally bad, unless I'm just off my rocker. I found it sick, brilliant, twisted, and psychologically sophisticated. You won't get deeper into the mind of a criminal psychopath in a Hollywood film than this one. It has layers within layers, nuanced acting by Stone,and a plot that will keep you guessing even after it's over. People need to get over the fact that Sharon Stone is 48,and that Michael Douglas isn't in this one. I predict that this film will be a huge hit on DVD once people see it for themselves and stop paying attention to the drivel professional reviewers put out. Give it a shot, you might be glad you did!",1
"Here we have a movie which fails in pretty much every way it is possible for a movie to fail. Terrible script, lousy acting, amateurish directing, laughable special effects...it's just an utterly awful movie. Not to mention the fact that when you get to the end you'll realize the whole thing doesn't make a lick of sense. After spending the whole movie wondering what in the world is going on here when things are finally explained you realize the story has been built on a foundation which is ludicrously impossible. In one of those hideous ""villain explains the whole movie"" sequences we are told that our villain has done something which quite simply can't be done and which makes absolutely no sense whatsoever. Oh, and after that we see that there also appears to be some kind of jell-o monster involved. I'm sure Drew Barrymore would very much like to pretend this movie never happened. If for some ungodly reason you are ever tempted to sit down and watch this movie may I suggest instead taking that time to bang your head against a wall for 104 minutes. That would prove to be a much more pleasurable experience than sitting through this garbage.",0
"Everybody just seems to be raving about the subject, and not really noticing how the movie was made. The deaf, mute guy is fine, the underdog wins - that's good, the cricket aspect is great, but the movie is average overall. I think it could be made much much better than it is.<br /><br />The plot is too predictable for a movie that is not based on a real life event. I'm sure the movie could have been made more interesting. The songs are just stuffed in there, and I had to literally forward the scenes where the same thing would be shown from different angles.<br /><br />Good acting, though. Watchable.",0
