instruction,context,response,category
"Identify which car manufacturer is Japanese or American: Isuzu, Cadillac",,"Isuzu is Japanese, Cadillac is American",classification
"Classify each of the following as a new world or old world crop: Potato, Corn, Tomato, Wheat, Oat, Cacao, Apple, Olive",,"Potato: New World, Corn: New World, Tomato: New World, Wheat: Old World, Oat: Old World, Cacao: New World, Apple: Old World, Olive: Old World",classification
"Classify which item is a fake color out of this set: blue, green, sheep, red, orange",,A sheep is not a color,classification
"Classify each of the following as ""Motorized"" or ""Not Motorized"": Bicycle, Skateboard, Car, Lawn Mower, Tractor, Golf Cart",,"Bicycle: Not Motorized
Skateboard: Not Motorized
Car: Motorized
Lawn Mower: Motorized
Tractor: Motorized
Golf Cart: Motorized",classification
"Tell me whether each state touches the ocean or not: Florida, North Carolina, Nebraska, Oklahoma, Oregon, Texas",,"Florida: Touches The Ocean 
North Carolina: Touches The Ocean
Nebraska: Does Not Touch The Ocean
Oklahoma: Does Not Touch The Ocean
Oregon: Touches The Ocean
Texas: Touches The Ocean",classification
"Identify which instrument is string or woodwind: Veena, Mizmar",,"Mizmar is woodwind, Veena is string.",classification
"Classify each of the following as having two or four legs: human, horse, dog, cat, monkey, kangaroo, boar",,"Human: Two Legs
Horse: Four Legs
Dog: Four Legs
Cat: Four Legs
Monkey: Two Legs
Kangaroo: Two Legs
Boar: Four Legs",classification
"Classify the following types of cars as ""economy"" or ""luxury"": Ford, Chevrolet, Lamborghini, Ferrari, Mercedes, Honda, Lexus, Toyota, Nissan, Subaru",,"Ford, Chevrolet, Honda, Toyota, and Subaru are high-quality car brands, but are generally not considered to be ""luxury"" brands. Lamborghini, Ferrari, Mercedes, and Lexus are luxury brands.",classification
"From this list of American sports teams categorise them as American Football, Basketball, Baseball or Hockey. Cincinnati Bengals, Boston Celtics, Washington Capitals, Washington Capitals, Los Angeles Dodgers, Atlanta Braves, Phoenix Suns, New York Rangers, Chicago Bears",,"American football: Chicago Bears, Cincinnati Bengals
Basketball: Boston Celtics, Phoenix Suns
Baseball: Atlanta Braves, Los Angeles Dodgers
Hockey: Washington Capitals, New York Rangers",classification
"Identify which animal species is alive or extinct: Thylacoleo, Skipjack Tuna",,"Thylacoleo is extinct, Skipjack Tuna is alive.",classification
Which is a species of fish? Sneaker or Sole,,Sole,classification
"Identify which car manufacturer is German or American: BMW, Cadilliac",,"Cadillac is American, BMW is German",classification
"Identify which instrument is string or percussion: Bianzhong, Sorahi",,"Sorahi is string, Bianzhong is percussion.",classification
"Tell me which of these things are used as rock climbing gear: lamps, guardrails, ropes, power cords, nuts, anchors, puppies, cams, belay devices.",,"Ropes, nuts, anchors, cams, belay devices.",classification
